,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa04213,0.999674683966659,0.975061966825252,1,0.998943456955599,0.994202071797546,0.398105360557969,0.969604695865403,0.969245012674423,0.651710824618304,0.992933485239681
hsa04215,0.610205143430584,0.430860865908747,0.999999992438455,0.996880470564506,0.840624961364787,0.52554598527497,0.980661886486486,0.847168424161101,0.318503328001333,0.803568631277729
hsa04217,0.999999901053233,0.990821042698444,1,1,0.999989047693395,0.998570686373589,0.999999938359487,0.999039147205447,0.999994553374006,0.999999795196183
hsa04218,0.000102563996156352,6.87973478997641e-05,1.59709210223236e-79,6.92443431454784e-33,1.36270342524918e-17,0.00385977548017012,7.44612004721723e-19,6.30237542074877e-07,9.75861817556694e-05,3.03548335093922e-11
hsa04260,0.986384662452244,0.999999987818695,1,1,0.99999999999981,0.869964086378356,0.99999808248795,0.999913675722404,0.999999999999958,0.282781008956175
hsa04261,1.99932595529891e-05,8.05782956306429e-07,4.70973333329277e-31,3.5511606227263e-14,7.8486208355493e-11,0.0292938081156689,2.87152489120165e-07,3.12775256419217e-05,0.000688071665150808,1.62820933675502e-07
hsa04270,0.999999999999639,0.849966644219891,1.84310011300862e-17,0.000465166543526633,0.893150185863497,0.751010978648142,4.11660472921522e-11,0.665358963667921,0.999999570337047,0.9999999774844
hsa04310,0.558583402619157,0.298264498859128,0.997259194989938,0.931639566504447,0.786952634740049,0.494577613050598,0.849519332425221,0.747866137478177,0.505636223218318,0.781149946484199
hsa04340,0.343697314860062,0.542083462558885,0.924207787983735,0.999989122283966,0.969270588551323,0.497676061465341,0.9990052414228,0.826700282515263,0.510520080498158,0.291253898326596
hsa04350,0.535626223117051,0.310938463922332,0.973322608369513,0.898371703031406,0.652822138161281,0.510843772213437,0.787445662311341,0.853330303164819,0.754141811759699,0.739889405985526
hsa04360,0.999999994915752,0.999999999980288,1,0.999999909888507,0.99999998902521,0.527091912692575,0.999986642920732,0.999055378937131,0.923611739512888,0.999957335731895
hsa04370,0.537599741498483,0.279214614427555,4.67417569992819e-11,0.774670744765098,0.090987092218096,0.520905987465144,0.364841726561961,0.380695220064586,0.955179092107085,0.402260351621475
hsa04371,1.84237943416272e-07,1.29579272397917e-08,5.35548378554376e-91,4.934582601239e-27,3.92081360952222e-22,0.00752684612501997,6.89301629838489e-15,9.16456540110436e-09,5.56388204179237e-09,2.82394329878316e-10
hsa04380,0.643112376635069,0.999884432483597,0.221023583367743,0.775975207450981,0.861909891462685,0.975183905186127,0.0672469301125614,0.689316018116139,0.973425305800462,0.803224017206338
hsa04390,4.97985764123744e-06,0.00359307835494643,0.526187735710757,0.0137446710281001,0.0169776131989103,0.671016407847391,0.000261139766125733,0.277705598127258,9.79512055341362e-05,0.000564838880491079
hsa04392,0.000321388251071822,0.158634981517297,0.605873999678538,0.756352938913595,0.377129425958938,0.398105360557969,0.707103999144099,0.5326363894726,0.31648901314689,0.0396388636268868
hsa04510,0.875619032943757,0.992706523629543,0.529827742921919,0.675070716674792,0.99529525063307,0.677312715622863,0.999314183929734,0.842056253813868,0.342041624666484,0.882779896368351
hsa04514,0.865134787499626,0.148668364564217,1,0.050518387361706,0.268705374110849,0.302749678209009,0.435202791481204,0.976328008874361,0.38875411016066,0.815398583728258
