,gene_heritability_correlation
STK40,0.0232340833298334
LSM10,0.0647473654339662
OSCP1,0.0194073788443166
MRPS15,0.15593323310747
CSF3R,0.164128639693218
LINC01137,0.100098658555104
ZC3H12A,-0.00777228303662857
MEAF6,0.0452537772060684
SNIP1,0.0289757110073182
DNALI1,-0.0358341784783295
GNL2,0.00309470786982624
C1orf109,-0.0193544633664434
CDCA8,0.00497979370593288
MANEAL,-0.0396118648531784
YRDC,0.0279118609899408
C1orf122,0.00529159370468822
MTF1,0.06827332722018
INPP5B,0.016934547030477
RP11-109P14.10,0.0884556640533857
SF3A3,0.0410075212992781
FHL3,0.0288264332944679
UTP11L,0.01630685910649
POU3F1,-0.00845569556373278
RRAGC,0.0848140696123824
RP5-864K19.4,0.0194864376491771
MYCBP,0.011392412485301
RHBDL2,0.00263507844085762
AKIRIN1,0.0544177614579437
NDUFS5,0.0156770636446134
MACF1,0.0269548070810379
BMP8A,0.02751078673111
RP11-69E11.4,0.0200764566187271
PABPC4,0.178482403188058
HEYL,0
PPIE,0.0442824418471096
BMP8B,0.0266253513721587
OXCT2,0.0404601862362046
TRIT1,-0.00489147083497322
MYCL,-0.0439923610762821
MFSD2A,-0.123693819918627
CAP1,0.0480917912300767
PPT1,0.166242797788122
RLF,-0.0079443490775686
TMCO2,0
RP1-39G22.7,0.00930858420872353
ZMPSTE24,-0.0308533338073727
COL9A2,-0.0104347016505317
SMAP2,0.170626441393237
ZFP69B,0.0136128197656918
ZFP69,-0.0209921420742963
RP11-656D10.3,0.00997835359074836
EXO5,-0.0213778977575978
ZNF684,-0.0343373082346996
RIMS3,0.0416131551618946
NFYC-AS1,0.0634044911042859
NFYC,-0.0427507781151799
CITED4,-0.000677301228684429
CTPS1,-0.0212492599548828
SLFNL1-AS1,-0.00313101528214955
SCMH1,0.0364596613942923
FOXO6,-0.0382020780010882
EDN2,0
HIVEP3,-0.00556834852853434
GUCA2B,-0.0449074266057339
FOXJ3,-0.000945595509872731
RIMKLA,0
ZMYND12,-0.0605990805185301
PPCS,-0.0491742325615984
CCDC30,-0.0266313358470164
PPIH,0.0707178640171354
RP5-994D16.3,0
YBX1,0.209990321268469
CLDN19,-0.0314378531583269
P3H1,0.0189340352541907
C1orf50,-0.0254177789679873
SVBP,0.0387475840742506
ERMAP,0.00667993124944779
RP11-342M1.3,0.0121100361286747
ZNF691,-0.0183796203767562
SLC2A1,-0.0235567492711747
SLC2A1-AS1,0.0798392705191936
EBNA1BP2,-0.0415860835310758
CFAP57,-0.0203903390757077
TMEM125,-0.0154874325797729
C1orf210,0.0332426522504775
TIE1,-0.0719187084498531
RP1-92O14.3,0.0240862896009015
CDC20,0.0868901621348548
ELOVL1,0.11006621563765
MED8,0.0619766823660652
SZT2,-0.0421154493606673
HYI,0.0269015863616663
HYI-AS1,-0.00647937314424244
PTPRF,-0.123689089170163
KDM4A,-0.0235592381404812
KDM4A-AS1,0.0505645224541678
ST3GAL3,-0.0359350326748805
IPO13,-0.016206489519142
DPH2,0.0372025081689586
ATP6V0B,0.110842533530518
B4GALT2,-0.058710808753817
CCDC24,0.0156544913088365
SLC6A9,0.110440451587226
RP5-1198O20.4,-0.0118516239915922
DMAP1,0.0187793815161383
ERI3,0.0787885512434196
RNF220,-0.00759794457607368
TMEM53,-0.0984285043346203
C1orf228,0.0132039811290113
