,gene_heritability_correlation
RBBP4,0.17344249879808
SYNC,0.0770482823623432
KIAA1522,-0.0314847609621914
YARS,0.157557589135583
S100PBP,0.0497156218734562
FNDC5,0
TMEM54,-0.00717460153672372
RNF19B,-0.0758959250079517
AK2,0.0401685024240897
AZIN2,0
TRIM62,-0.00408702365467141
ZNF362,-0.0139012578566674
RP11-415J8.3,0
PHC2,0.0668732046957547
ZSCAN20,0
SMIM12,0.0746533471492171
GJB3,0
GJA4,-0.0560798623192422
DLGAP3,-0.00520367770358993
RP11-244H3.4,-0.0212724985539949
ZMYM6NB,0
ZMYM6,0.0232422676583012
ZMYM1,-0.023542043564811
SFPQ,0.00801464528949309
ZMYM4,0.0755257591521455
KIAA0319L,-0.032474245761455
NCDN,-0.0126243581262287
RP4-728D4.2,0
TFAP2E,0
PSMB2,-0.0357735258190183
C1orf216,-0.0207567174114245
CLSPN,0.0249444996150016
AGO4,-0.047272080672226
AGO1,-0.07650853249402
RP4-789D17.5,0
AGO3,-0.0354229278282625
ADPRHL2,-0.0250400581656057
COL8A2,0
TRAPPC3,0.163562682396022
MAP7D1,-0.00276755277202716
THRAP3,0.048723902254008
SH3D21,0.0298841218755063
EVA1B,0.00064065022342993
RP11-268J15.5,0.00193790151787526
STK40,0.0330536653248801
LSM10,0.0452472938786099
OSCP1,-0.00741754931917297
MRPS15,0.1772490659875
CSF3R,-0.017915288649095
LINC01137,-0.0486888495842576
ZC3H12A,-0.0617349783736064
MEAF6,0.0556589306546801
SNIP1,0.0757393631795457
DNALI1,-0.038000164398371
GNL2,-0.00852206983599117
C1orf109,-0.0186755926191916
CDCA8,0.0248461041447723
MANEAL,-0.00866160748732197
YRDC,-0.00833862490376255
C1orf122,0.0186332509473722
MTF1,0.00650720481468331
INPP5B,0.00828245979307917
RP11-109P14.10,0
SF3A3,-0.0333793151650245
FHL3,-0.0494326006979469
UTP11L,-0.0645876924112018
POU3F1,0
RRAGC,-0.00161740754091019
RP5-864K19.4,0
MYCBP,-0.0213085157172748
RHBDL2,0
AKIRIN1,0.105623576504195
NDUFS5,0.0324417882100098
MACF1,-0.00194359273834531
BMP8A,0.0085322581184944
RP11-69E11.4,-0.0127829520692988
PABPC4,0.131579075734701
HEYL,0
PPIE,0.110825446435463
BMP8B,0.0448655814816149
OXCT2,0.0289588707904434
TRIT1,0.0085322581184944
MYCL,-0.0212724985539949
MFSD2A,-0.103753028306765
CAP1,-0.133351832575544
PPT1,-0.036321712405945
RLF,0.0455852969077049
TMCO2,0
RP1-39G22.7,-0.0434082547626466
ZMPSTE24,-0.0798208297700353
COL9A2,0
SMAP2,0.0680303157651819
ZFP69B,-0.021358539711351
ZFP69,0
RP11-656D10.3,-0.00350075740848537
EXO5,0
ZNF684,0.20675971560902
RIMS3,0.0386515917094177
