,gene_heritability_correlation
LINC01389,0.00528624025412691
FOXD2-AS1,0.00374974268769469
FOXD2,0
TRABD2B,0.0134263745813417
SLC5A9,0.00689022605159819
RP5-1024N4.4,0
SPATA6,0.0101089551932924
AGBL4,0
BEND5,0.00611083810913383
ELAVL4,0.00612547718566031
RP11-567C20.2,0
FAF1,0.0202400702975853
CDKN2C,0.0197395630811708
RNF11,-0.0194840929624462
TTC39A,0
TTC39A-AS1,0.00374856960033633
EPS15,0.0286187790489139
RP11-191G24.1,0.0115063272751605
OSBPL9,0.000675110586563748
NRDC,-0.0229739455743575
RP4-657D16.3,0.00749327329042998
RAB3B,0.00519864890380103
TXNDC12,0.0299951002554933
KTI12,-0.0634725184316952
RP11-91A18.4,0
BTF3L4,-0.00993895603317371
ZFYVE9,0.00992498095412681
CC2D1B,0.0120243587748158
ORC1,0
PRPF38A,0.00535145162729787
ZCCHC11,-0.00948373231498288
GPX7,0.0175238800109023
FAM159A,0.0146081720785581
COA7,0.0159012167619354
ZYG11B,-0.0415986337828129
ZYG11A,0
ECHDC2,-0.0318674928772196
SCP2,-0.00516164951031548
PODN,0
SLC1A7,0.00530582611757544
CPT2,0.0320728621972315
RP5-1024G6.2,0.00520956095946104
C1orf123,0.00563803888726094
RP5-1024G6.7,0.00375095502330453
MAGOH,0.0249377493802565
RP5-1024G6.5,0.00374886397167704
LRP8,0.00859225317403048
RP11-117D22.2,0.00977630383079273
NDC1,-0.157761275019789
YIPF1,0.0243870139784378
DIO1,-0.0270627317647824
HSPB11,-0.0421579694700106
LRRC42,0.013303999353911
TMEM59,-0.0127995717690377
TCEANC2,0.0137731450614376
RP11-446E24.4,0.00374899871150279
CYB5RL,0.0111159027948146
MRPL37,-0.0840355498221084
SSBP3,-0.0772557920431281
SSBP3-AS1,0.00375513548323526
ACOT11,0.00566573480552499
FAM151A,0.0129105538209559
MROH7,0.00517257480127262
TTC4,0.00680891719118421
PARS2,0.0128235915325351
TTC22,0.00624701896271871
LEXM,0
